CountyCode,CountyName,PrecinctCode,PrecinctName,PollingLocationName,PollingLocationAddress,Status,Lat,Lng
1,ABBEVILLE,1,Abbeville No. 1,Abbeville County Complex,"903 W Greenwood St, Abbeville SC 29620",,,
1,ABBEVILLE,2,Abbeville No. 2,Abbeville County Complex,"903 W Greenwood St, Abbeville SC 29620",,,
1,ABBEVILLE,3,Abbeville No. 3,Abbeville County Complex,"903 W Greenwood St, Abbeville SC 29620",,,
1,ABBEVILLE,4,Abbeville No. 4,Abbeville County Complex,"903 W Greenwood St, Abbeville SC 29620",,,
1,ABBEVILLE,5,Antreville,Antreville Fire Dept,"147 Hwy 184 W, Abbeville SC 29620",,,
1,ABBEVILLE,6,Broadmouth,Turkey Creek Fire Dept,"6855 Hwy 252, Donalds SC 29638",,,
1,ABBEVILLE,7,Calhoun Falls,Calhoun Falls Charter School,"205 Edgefield St, Calhoun Falls SC 29628",,,
1,ABBEVILLE,8,Cold Springs,Cold Springs Fire Dept,"2106 Hwy 20, Abbeville SC 29620",,,
1,ABBEVILLE,9,Donalds,Donalds Town Hall,"125 W Main St, Donalds SC 29638",,,
1,ABBEVILLE,10,Due West,Due West Fire Department,"13 Church St, Due West SC 29639",,,
1,ABBEVILLE,11,Hall's Store,Calvary Baptist Church,"5551 Hwy 252, Ware Shoals SC 29692",,,
1,ABBEVILLE,12,Keowee,Keowee Fire Dept,"4065 Keowee Rd, Honea Path SC 29654",,,
1,ABBEVILLE,13,Lowndesville,Lownds. Community Center,"416 Main St, Lowndesville SC 29659",,,
1,ABBEVILLE,14,Lebanon,Abbeville County Complex,"903 W Greenwood St, Abbeville SC 29620",,,
1,ABBEVILLE,15,Smithville,Ebenezer United Methodist Church,"2470 Old Abbeville Hwy, Abbeville SC 29620",,,
1,ABBEVILLE,999,Barrier Free,Voter Registration Office,"903 W Greenwood St Ste 2500, Abbeville SC 29620",,,
2,AIKEN,1,Aiken No. 1,City Auditorium,"214 Park Ave SW, Aiken SC 29801",,,
2,AIKEN,2,Aiken No. 2,Aiken High School Temp,"449 Rutland Dr NW, Aiken SC 29801",,,
2,AIKEN,3,Aiken No. 3,Aiken High School,"449 Rutland Dr NW, Aiken SC 29801",,,
2,AIKEN,4,Aiken No. 4,Smith Hazel Rec Center,"400 Kershaw St NE, Aiken SC 29801",,,
2,AIKEN,5,Aiken No. 5,St Mary's Smith Hall,"125 Park Ave SE, Aiken SC 29801",,,
2,AIKEN,6,Aiken No. 6,Odell Weeks Ctr,"1700 Whiskey Rd, Aiken SC 29803",,,
2,AIKEN,7,Bath,Burnettown Municipal Bldg - Temp,"3187 Augusta Rd, Warrenville SC 29851",,,
2,AIKEN,8,Beech Island,Beech Isl Fire Dept,"1565 Sand Bar Ferry Rd, Beech Island SC 29842",,,
2,AIKEN,9,Belvedere No. 9,Nancy Carson Library,"135 Edgefield Rd, North Augusta SC 29841",,,
2,AIKEN,10,Carolina Heights,American Legion Post 232,"6070 Broadcast Dr, North Augusta SC 29841",,,
2,AIKEN,11,China Springs,Center Fire Substation,"7 T And S Dr, Aiken SC 29801",,,
2,AIKEN,12,Clearwater,Clearwater Elem Sch,"4552 Augusta Rd, Beech Island SC 29842",,,
2,AIKEN,13,College Acres,Mercy,"2700 Whiskey Rd, Aiken SC 29803",,,
2,AIKEN,14,Eureka,Old Time Gospel Church,"1231 Luke Bridge Rd, Trenton SC 29847",,,
2,AIKEN,15,Gloverville,First Baptist Church Gloverville,"2212 Augusta Rd, Gloverville SC 29828",,,
2,AIKEN,16,Graniteville,Graniteville First Baptist Church,"76 Canal St, Graniteville SC 29829",,,
2,AIKEN,17,Jackson,Jackson Town Hall,"106 Main St, Jackson SC 29831",,,
2,AIKEN,18,Langley,Langley Community Center,"2710 Augusta Rd, Warrenville SC 29851",,,
