Textbox97,CountyCode,CountyName,PrecinctCode,PrecinctName,PollingLocationName,PollingLocationAddress,Coordinates,Status
County: 01 - ABBEVILLE,1,ABBEVILLE,1,Abbeville No. 1,Abbeville Civic Center,"404 N Main St
Abbeville SC 29620","34.18101,-82.383862",
County: 01 - ABBEVILLE,1,ABBEVILLE,2,Abbeville No. 2,Abbeville County Court House,"102 Court Sq
Abbeville SC 29620","34.177844,-82.379177",
County: 01 - ABBEVILLE,1,ABBEVILLE,3,Abbeville No. 3,Abbeville County Complex,"903 W Greenwood St
Abbeville SC 29620","34.171715,-82.376806",
County: 01 - ABBEVILLE,1,ABBEVILLE,4,Abbeville No. 4,Abbeville Fire Dept Headquarters,"17 Old Calhoun Falls Rd
Abbeville SC 29620","34.164244,-82.419697",
County: 01 - ABBEVILLE,1,ABBEVILLE,5,Antreville,Antreville Fire Dept,"147 Hwy 184 W
Abbeville SC 29620","34.313954,-82.564931",
County: 01 - ABBEVILLE,1,ABBEVILLE,6,Broadmouth,Turkey Creek Fire Dept,"6855 Hwy 252
Donalds SC 29638","34.436333,-82.312814",
County: 01 - ABBEVILLE,1,ABBEVILLE,7,Calhoun Falls,Calhoun Falls Charter School,"205 Edgefield St
Calhoun Falls SC 29628","34.098656,-82.59597",
County: 01 - ABBEVILLE,1,ABBEVILLE,8,Cold Springs,Cold Springs Fire Dept,"2106 Hwy 20
Abbeville SC 29620","34.254652,-82.384117",
County: 01 - ABBEVILLE,1,ABBEVILLE,9,Donalds,Donalds Town Hall,"125 W Main St
Donalds SC 29638","34.378495,-82.347227",
County: 01 - ABBEVILLE,1,ABBEVILLE,10,Due West,Due West Fire Department,"13 Church St
Due West SC 29639","34.337287,-82.390001",
County: 01 - ABBEVILLE,1,ABBEVILLE,11,Hall's Store,Calvary Baptist Church,"5551 Hwy 252
Ware Shoals SC 29692","34.416771,-82.274747",
County: 01 - ABBEVILLE,1,ABBEVILLE,12,Keowee,Keowee Fire Dept,"4065 Keowee Rd
Honea Path SC 29654","34.377594,-82.437441",
County: 01 - ABBEVILLE,1,ABBEVILLE,13,Lowndesville,Lownds. Community Center,"416 Main St
Lowndesville SC 29659","34.21296,-82.649953",
County: 01 - ABBEVILLE,1,ABBEVILLE,14,Lebanon,Sharon Fire Dept,"167 Firehouse Rd
Abbeville SC 29620","34.134147,-82.418345",
County: 01 - ABBEVILLE,1,ABBEVILLE,15,Smithville,Ebenezer United Methodist Church,"2470 Old Abbeville Hwy
Abbeville SC 29620","34.187782,-82.279491",
County: 01 - ABBEVILLE,1,ABBEVILLE,999,Barrier Free,Voter Registration Office,"903 W Greenwood St Ste 2500
Abbeville SC 29620","34.171715,-82.376806",
County: 02 - AIKEN,2,AIKEN,1,Aiken No. 1,City Auditorium,"214 Park Ave SW
Aiken SC 29801","33.55949,-81.721867",
County: 02 - AIKEN,2,AIKEN,2,Aiken No. 2,Aiken High School Temp,"449 Rutland Dr NW
Aiken SC 29801","33.577667,-81.705516",
County: 02 - AIKEN,2,AIKEN,3,Aiken No. 3,Aiken High School,"449 Rutland Dr NW
Aiken SC 29801","33.577667,-81.705516",
County: 02 - AIKEN,2,AIKEN,4,Aiken No. 4,Smith Hazel Rec Center,"400 Kershaw St NE
Aiken SC 29801","33.564804,-81.711106",
County: 02 - AIKEN,2,AIKEN,5,Aiken No. 5,St Mary's Smith Hall,"125 Park Ave SE
Aiken SC 29801","33.558255,-81.720194",
County: 02 - AIKEN,2,AIKEN,6,Aiken No. 6,Odell Weeks Ctr,"1700 Whiskey Rd
Aiken SC 29803","33.48113,-81.695257",
County: 02 - AIKEN,2,AIKEN,7,Bath,L B C Middle School,"29 Lions Trl
Warrenville SC 29851","33.503443,-81.865686",
County: 02 - AIKEN,2,AIKEN,8,Beech Island,Beech Isl Fire Dept,"1565 Sand Bar Ferry Rd
Beech Island SC 29842","33.430703,-81.892641",
County: 02 - AIKEN,2,AIKEN,9,Belvedere No. 9,Nancy Carson Library,"135 Edgefield Rd
North Augusta SC 29841","33.581218,-81.940127",
County: 02 - AIKEN,2,AIKEN,10,Carolina Heights,American Legion Post 232,"6070 Broadcast Dr
North Augusta SC 29841","33.501422,-81.934757",
County: 02 - AIKEN,2,AIKEN,11,China Springs,Center Fire Substation,"7 T And S Dr
Aiken SC 29801","33.612503,-81.721919",
County: 02 - AIKEN,2,AIKEN,12,Clearwater,Clearwater Elem Sch,"4552 Augusta Rd
Beech Island SC 29842","33.495725,-81.896408",
County: 02 - AIKEN,2,AIKEN,13,College Acres,Mercy,"2700 Whiskey Rd
Aiken SC 29803","33.503201,-81.706402",
County: 02 - AIKEN,2,AIKEN,14,Eureka,Old Time Gospel Church,"1231 Luke Bridge Rd
Trenton SC 29847","33.704895,-81.77938",
County: 02 - AIKEN,2,AIKEN,15,Gloverville,First Baptist Church Gloverville,"2212 Augusta Rd
Gloverville SC 29828","33.52675,-81.829307",
County: 02 - AIKEN,2,AIKEN,16,Graniteville,Graniteville First Baptist Church,"76 Canal St
Graniteville SC 29829","33.56543,-81.807058",
County: 02 - AIKEN,2,AIKEN,17,Jackson,Jackson Town Hall,"106 Main St
Jackson SC 29831","33.325087,-81.788987",
County: 02 - AIKEN,2,AIKEN,18,Langley,Langley Community Center,"2710 Augusta Rd
Warrenville SC 29851","33.518722,-81.84334",
County: 02 - AIKEN,2,AIKEN,19,Lynwood,Burnettown Municipal Bldg,"3187 Augusta Rd
Warrenville SC 29851","33.51005,-81.854655",
County: 02 - AIKEN,2,AIKEN,20,Millbrook,Aiken Elementary School,"2050 Pine Log Rd
Aiken SC 29803","33.526999,-81.767332",
County: 02 - AIKEN,2,AIKEN,21,Monetta,Monetta Community Center,"266 Academy St
Monetta SC 29105","33.845462,-81.601768",
County: 02 - AIKEN,2,AIKEN,22,Montmorenci No. 22,Montmorenci First Bapt Ch,"44 Old Barnwell Rd
Aiken SC 29803","33.524048,-81.633963",
County: 02 - AIKEN,2,AIKEN,23,New Ellenton,New Ellenton Community Center,"212 Pine Hill Ave
New Ellenton SC 29809","33.42008,-81.683725",
County: 02 - AIKEN,2,AIKEN,24,New Holland,New Holland Fire Department,"2243 Old 96 Indian Trl
Batesburg SC 29006","33.718147,-81.500157",
County: 02 - AIKEN,2,AIKEN,25,North Augusta No. 25,N A Community Center,"495 Brookside Ave
North Augusta SC 29841","33.492743,-81.967747",
County: 02 - AIKEN,2,AIKEN,26,North Augusta No. 26,Fairview Presbyterian Church,"1101 Carolina Ave
North Augusta SC 29841","33.503593,-81.969461",
County: 02 - AIKEN,2,AIKEN,27,North Augusta No. 27,N Augusta High School,"2000 Knobcone Ave
North Augusta SC 29841","33.531116,-81.96819",
County: 02 - AIKEN,2,AIKEN,28,North Augusta No. 28,Hammond Hill Elem School,"901 W Woodlawn Ave
North Augusta SC 29841","33.510894,-81.983581",
County: 02 - AIKEN,2,AIKEN,29,North Augusta No. 29,First Baptist Church,"602 Georgia Ave
North Augusta SC 29841","33.49511,-81.970526",
County: 02 - AIKEN,2,AIKEN,30,Oak Grove,Oak Grove Baptist Church,"1721 Old 96 Indian Trl
Batesburg SC 29006","33.749183,-81.52352",
County: 02 - AIKEN,2,AIKEN,31,Perry,Perry Town Hall,"1075 E Railroad Ave N
Perry SC 29137","33.628813,-81.312596",
County: 02 - AIKEN,2,AIKEN,32,Salley,Old Crescent Voc School,"230 Pine St NW
Salley SC 29137","33.567406,-81.308524",
County: 02 - AIKEN,2,AIKEN,33,Shaws Fork,Shaws Fork Baptist Church,"1085 Shaws Fork Rd
Aiken SC 29805","33.578809,-81.565576",
